Name,Surname,Country,Year,Category,Motivation,Institution,Other,
Jacques,Benveniste,France,1991,Chemistry,"for his persistent discovery that water, H2O, is an intelligent liquid, and for demonstrating to his satisfaction that water is able to remember events long after all trace of those events has vanished.",,,
Alan,Kligerman,US,1991,Medicine,"for his pioneering work with anti-gas liquids that prevent bloat, gassiness, discomfort and embarassment",,,
James,Danforth Quayle,US,1991,Education,"for demonstrating,better than anyone else, the need for science education.",,Ex-vice-president USA,
Robert,Klark Graham,US,1991,Biology,"for his pioneering development of the Repository for Germinal Choice, a sperm bank that accepts donations only from Nobellians and Olympians.",,,
Michael,Milken,US,1991,Economics,"titan of Wall Street and father of the junk bond, to whom the world is indebted.",,,
Erich,von Daniken,Switzerland,1991,Literature,for explaining how human civilization was influenced by ancient astronauts from outer space.,,,
Edward,Teller,Hungary,1991,Peace,"father of the hydrogen bomb and first champion of the Star Wars weapons system, for his lifelong efforts to change the meaning of peace as we know it.",,,
F.,Kanda,Japan,1992,Medicine,"for their pioneering research study “Elucidation of Chemical Compounds Responsible for Foot Malodour,” especially for their conclusion that people who think they have foot odor do, and those who don’t, don’t.",Shisedo Research Center,,
E. ,Yagi,Japan,1992,Medicine,"for their pioneering research study “Elucidation of Chemical Compounds Responsible for Foot Malodour,” especially for their conclusion that people who think they have foot odor do, and those who don’t, don’t.",Shisedo Research Center,,
M. ,Fukuda,Japan,1992,Medicine,"for their pioneering research study “Elucidation of Chemical Compounds Responsible for Foot Malodour,” especially for their conclusion that people who think they have foot odor do, and those who don’t, don’t.",Shisedo Research Center,,
K.,Nakajima,Japan,1992,Medicine,"for their pioneering research study “Elucidation of Chemical Compounds Responsible for Foot Malodour,” especially for their conclusion that people who think they have foot odor do, and those who don’t, don’t.",Shisedo Research Center,,
T. ,Ohta,Japan,1992,Medicine,"for their pioneering research study “Elucidation of Chemical Compounds Responsible for Foot Malodour,” especially for their conclusion that people who think they have foot odor do, and those who don’t, don’t.",Shisedo Research Center,,
O. ,Nakata,Japan,1992,Medicine,"for their pioneering research study “Elucidation of Chemical Compounds Responsible for Foot Malodour,” especially for their conclusion that people who think they have foot odor do, and those who don’t, don’t.",Shisedo Research Center,,
Eclaireurs,de France,France,1992,Archaeology ,"the Protestant youth group whose name means “those who show the way,” fresh-scrubbed removers of grafitti, for erasing the ancient paintings from the walls of the Meyrieres Cave near the French village of Bruniquel.",,,
The investors of Lloyds of London,,UK,1992,Economics,"heirs to 300 years of dull prudent management, for their bold attempt to insure disaster by refusing to pay for their company’s losses",,,
Cecil,Jacobson,US,1992,Biology,"relentlessly generous sperm donor, and prolific patriarch of sperm banking, for devising a simple, single-handed method of quality control",,,
Ivette,Bassa,?,1992,Chemistry,"constructor of colorful colloids, for her role in the crowning achievement of twentieth century chemistry, the synthesis of bright blue Jell-O.",,,
David,Chorley,UK,1992,Physics,for their circular contributions to field theory based on the geometrical destruction of English crops.,,,
Doug,Bower,UK,1992,Physics,for their circular contributions to field theory based on the geometrical destruction of English crops.,,,
Daryl,Gates,US,1992,Peace,for his uniquely compelling methods of bringing people together.,,,
The utilizers of Spam,,World,1992,Nutrition,"courageous consumers of canned comestibles, for 54 years of undiscriminating digestion.",,,
Yuri,Struchkov,Russia,1992,Literature," for the 948 scientific papers he is credited with publishing between the years 1981 and 1990, averaging more than one every 3.9 days.",,,
Jim,Knowlton,US,1992,Art,"for his classic anatomy poster “Penises of the Animal Kingdom,",,,
U.S. National Endowment for the Arts,,US,1992,Art,for encouraging Mr. Knowlton to extend his work in the form of a pop-up book,,,
John,Edward Mack,US,1993,Psychology,"for their leaping conclusion that people who believe they were kidnapped by aliens from outer space, probably were — and especially for their conclusion “the focus of the abduction is the production of children.",Harvard Medical School,"Won a Pulitzer for the book "" A Prince of Our Disorder""",https://en.wikipedia.org/wiki/John_E._Mack
David,Jacobs,US,1993,Psychology,"for their leaping conclusion that people who believe they were kidnapped by aliens from outer space, probably were — and especially for their conclusion “the focus of the abduction is the production of children.",Temple University,,
Ron,Popeil,US,1993,Consumer Engineering,"for redefining the industrial revolution with such devices as the Veg-O-Matic, the Pocket Fisherman, Mr. Microphone, and the Inside-the-Shell Egg Scrambler",,,https://www.ronpopeil.com/#about-ron
Paul,Williams Jr.,US?,1993,Biology,"for their pioneering study, “Salmonella Excretion in Joy-Riding Pigs",Oregon State Health Division,,
Kenneth,W. Newell,New Zealand?,1993,Biology,"for their pioneering study, “Salmonella Excretion in Joy-Riding Pigs",Liverpool School of Tropical Medicine,,
Ravi,Batra,India,1993,Economics,"best-selling author of “The Great Depression of 1990” ($17.95) and “Surviving the Great Depression of 1990” ($18.95), for selling enough copies of his books to single-handedly prevent worldwide economic collapse.",Southern Methodist University,,
Pepsi-Cola Company of the Phillipines,,Philippines,1993,Peace,"for sponsoring a contest to create a millionaire, and then announcing the wrong winning number, thereby inciting and uniting 800,000 riotously expectant winners, and bringing many warring factions together for the first time in their nation’s history.",,,
Jay,Schiffman ,US,1993,Visionary Technology,"crack inventor of AutoVision, an image projection device that makes it possible to drive a car and watch television at the same time",,,https://www.chicagotribune.com/1998/09/06/windshield-tv-puts-the-show-on-the-road/
Michigan state legislature,,US,1993,Visionary Technology,"for making it legal to do so [to use AutoVision, to drive a car and watch television at the same time]",,,
James,Campbell,US,1993,Chemistry,"for inventing scent strips, the odious method by which perfume is applied to magazine pages",,,
Gaines,Campbell,US,1993,Chemistry,"for inventing scent strips, the odious method by which perfume is applied to magazine pages",,,
Eric,Topol,US,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,Said that he is not a co-author,https://improbable.com/2012/05/02/the-lead-author-of-996-co-authors-is-not-an-author/
GUSTO Investigators,,Australia,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,Belgium,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,Canada,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,France,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,Germany,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,Ireland,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,Israel,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,Luxembourg,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,The Netherlands,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,New Zealand,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,Poland,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,Spain,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,Switzerland,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
GUSTO Investigators,,UK,1993,Literature,for publishing a medical research paper which has one hundred times as many authors (more than 972 co-authors) as pages,,,
Robert,Faid,US,1993,Mathematics,"for calculating the exact odds (710,609,175,188,282,000 to 1) that Mikhail Gorbachev is the Antichrist.",,,
Louis,Kervran,France,1993,Physics,for his conclusion that the calcium in chickens’ eggshells is created by a process of cold fusion.,,,
James,F. Nolan,US?,1993,Medicine,"for their painstaking research report, “Acute Management of the Zipper-Entrapped Penis.”",,,
Thomas,J. Stillwell,US?,1993,Medicine,"for their painstaking research report, “Acute Management of the Zipper-Entrapped Penis.”",,,
John,"P. Sands, Jr.",US?,1993,Medicine,"for their painstaking research report, “Acute Management of the Zipper-Entrapped Penis.”",,,
W.,Brian Sweeney,US?,1994,Biology,"for their breakthrough study, “The Constipated Serviceman: Prevalence Among Deployed US Troops,” and especially for their numerical analysis of bowel movement frequency. ",,,
Brian,Krafte-Jacobs,US?,1994,Biology,"for their breakthrough study, “The Constipated Serviceman: Prevalence Among Deployed US Troops,” and especially for their numerical analysis of bowel movement frequency. ",,,
Jeffrey,W. Britton,US?,1994,Biology,"for their breakthrough study, “The Constipated Serviceman: Prevalence Among Deployed US Troops,” and especially for their numerical analysis of bowel movement frequency. ",,,
Wayne,Hansen,US?,1994,Biology,"for their breakthrough study, “The Constipated Serviceman: Prevalence Among Deployed US Troops,” and especially for their numerical analysis of bowel movement frequency. ",,,
John,Hagelin,US,1994,Peace,"for his experimental conclusion that 4,000 trained meditators caused an 18 percent decrease in violent crime in Washington, D.C.","Maharishi University; The Institute of Science, Technology and Public Policy",,
Patient X,,US,1994,Medicine,"valiant victim of a venomous bite from his pet rattlesnake, for his determined use of electroshock therapy — at his own insistence, automobile sparkplug wires were attached to his lip, and the car engine revved to 3000 rpm for five minutes",,,
Richard,C. Dart,US?,1994,Medicine,for their well-grounded medical report: “Failure of Electric Shock Treatment for Rattlesnake Envenomation.,Rocky Mountain Poison Center,,
Richard,A. Gustafson,US?,1994,Medicine,for their well-grounded medical report: “Failure of Electric Shock Treatment for Rattlesnake Envenomation.,The University of Arizona Health Sciences Center,,
Robert,A. Lopez,US,1994,Entomology,"for his series of experiments in obtaining ear mites from cats, inserting them into his own ear, and carefully observing and analyzing the results. ",,,
Lee,Kuan Yew,Singapore,1994,Psychology,"practitioner of the psychology of negative reinforcement, for his thirty-year study of the effects of punishing three million citizens of Singapore whenever they spat, chewed gum, or fed pigeons",,,
Lafayette ,Ron Hubbard,US,1994,Literature,"founding father of Scientology, for his crackling Good Book, “Dianetics,” which is highly profitable to mankind or to a portion thereof",,,
Bob,Glasgow,US,1994,Chemistry,"for sponsoring the 1989 drug control law which make it illegal to purchase beakers, flasks, test tubes, or other laboratory glassware without a permit.",,,
Jan Pablo,Davila,Chile,1994,Economics,"former employee of the state-owned Codelco Company, for instructing his computer to “buy” when he meant “sell,” and subsequently attempting to recoup his losses by making increasingly unprofitable trades that ultimately lost .5 percent of Chile’s gross national product. Davila’s relentless achievement inspired\ his countrymen to coin a new verb: ” davilar,” meaning, “to botch things up royally.”",,,
Southern Baptist Church of Alabama,,US,1994,Mathematics,for their county-by-county estimate of how many Alabama citizens will go to Hell if they don’t repent.,,,
John,Martinez,?,1995,Nutrition,"for educating the world about Luak Coffee, the world’s most expensive coffee, which is made from coffee beans ingested and excreted by the luak (aka, the palm civet), a bobcat-like animal native to Indonesia",J. Martinez & Company ,,
D.M.R.,Georget,UK?,1995,Physics,"for their rigorous analysis of soggy breakfast cereal, published in the report entitled “A Study of the Effects of Water Content on the Compaction Behaviour of Breakfast Cereal Flakes.”","Institute of Food Research, Norwich, England",,
R.,Parker,UK?,1995,Physics,"for their rigorous analysis of soggy breakfast cereal, published in the report entitled “A Study of the Effects of Water Content on the Compaction Behaviour of Breakfast Cereal Flakes.”","Institute of Food Research, Norwich, England",,
A.C.,Smith,UK?,1995,Physics,"for their rigorous analysis of soggy breakfast cereal, published in the report entitled “A Study of the Effects of Water Content on the Compaction Behaviour of Breakfast Cereal Flakes.”","Institute of Food Research, Norwich, England",,
Nick,Leeson,UK,1995,Economics,for using the calculus of derivatives to demonstrate that every financial institution has its limits.,Barings Bank,,
Robert,Citron,US,1995,Economics,for using the calculus of derivatives to demonstrate that every financial institution has its limits.,,,
Marcia,E. Buebel,US?,1995,Medicine,for their invigorating study entitled “The Effects of Unilateral Forced Nostril Breathing on Cognition.”,,,
David,S. Shannahoff-Khalsa,US?,1995,Medicine,for their invigorating study entitled “The Effects of Unilateral Forced Nostril Breathing on Cognition.”,,,
Michael,R. Boyle,US?,1995,Medicine,for their invigorating study entitled “The Effects of Unilateral Forced Nostril Breathing on Cognition.”,,,
David,B. Busch,US,1995,Literature,"for their deeply penetrating research report, “Rectal foreign bodies: Case Reports and a Comprehensive Review of the World’s Literature.” The citations include reports of, among other items: seven light bulbs; a knife sharpener; two flashlights; a wire spring; a snuff box; an oil can with potato stopper; eleven different forms of fruits, vegetables and other foodstuffs; a jeweler’s saw; a frozen pig’s tail; a tin cup; a beer glass; and one patient’s remarkable ensemble collection consisting of spectacles, a suitcase key, a tobacco pouch and a magazine",,,
James,R. Starling,US,1995,Literature,"for their deeply penetrating research report, “Rectal foreign bodies: Case Reports and a Comprehensive Review of the World’s Literature.” The citations include reports of, among other items: seven light bulbs; a knife sharpener; two flashlights; a wire spring; a snuff box; an oil can with potato stopper; eleven different forms of fruits, vegetables and other foodstuffs; a jeweler’s saw; a frozen pig’s tail; a tin cup; a beer glass; and one patient’s remarkable ensemble collection consisting of spectacles, a suitcase key, a tobacco pouch and a magazine",,,
The Taiwan National Parliament,,Taiwan ,1995,Peace,"for demonstrating that politicians gain more by punching, kicking and gouging each other than by waging war against other nations",,,
Shigeru,Watanabe,Japan,1995,Psychology,for their success in training pigeons to discriminate between the paintings of Picasso and those of Monet,Keio University,,
Junko,Sakamoto,Japan,1995,Psychology,for their success in training pigeons to discriminate between the paintings of Picasso and those of Monet,Keio University,,
Masumi,Wakita,Japan,1995,Psychology,for their success in training pigeons to discriminate between the paintings of Picasso and those of Monet,Keio University,,
Martha,Kold Bakkevig,Norway,1995,Public Health,"for their exhaustive study, “Impact of Wet Underwear on Thermoregulatory Responses and Thermal Comfort in the Cold.”",Sintef Unimed ,,
Ruth,Nielsen,Denmark,1995,Public Health,"for their exhaustive study, “Impact of Wet Underwear on Thermoregulatory Responses and Thermal Comfort in the Cold.”",Technical University of Denmark,,
Robert,H. Beaumont,US,1995,Dentistry,for his incisive study “Patient Preference for Waxed or Unwaxed Dental Floss.”,,,
Bijan,Pakzad,Iran,1995,Chemistry,"for creating DNA Cologne and DNA PERFUME, neither of which contain deoxyribonucleic acid, and both of which come in a triple helix bottle.",,,https://en.wikipedia.org/wiki/Bijan_(designer)
Anders,Barheim ,Norway,1996,Biology,"for their tasty and tasteful report, “Effect of Ale, Garlic, and Soured Cream on the Appetite of Leeches.”",University of Bergen,,
Hogne,Sandvik,Norway,1996,Biology,"for their tasty and tasteful report, “Effect of Ale, Garlic, and Soured Cream on the Appetite of Leeches.”",University of Bergen,,
James,Johnston,US,1996,Medicine,"for their unshakable discovery, as testified to the U.S. Congress, that nicotine is not addictive.",R.J. Reynolds,,
Joseph,Taddeo,US,1996,Medicine,"for their unshakable discovery, as testified to the U.S. Congress, that nicotine is not addictive.",U.S. Tobacco,,
Andrew,Tisch,US,1996,Medicine,"for their unshakable discovery, as testified to the U.S. Congress, that nicotine is not addictive.",Lorillard,,
William,Campbell,US,1996,Medicine,"for their unshakable discovery, as testified to the U.S. Congress, that nicotine is not addictive.",Philip Morris,,
Edward,A. Horrigan,US,1996,Medicine,"for their unshakable discovery, as testified to the U.S. Congress, that nicotine is not addictive.",Liggett Group,,
Donald,S. Johnston,US,1996,Medicine,"for their unshakable discovery, as testified to the U.S. Congress, that nicotine is not addictive.",American Tobacco Company,,
Thomas,E. Sandefur Jr,US,1996,Medicine,"for their unshakable discovery, as testified to the U.S. Congress, that nicotine is not addictive.",Brown and Williamson Tobacco Co,,
Robert,Matthews ,UK,1996,Physics,"for his studies of Murphy’s Law, and especially for demonstrating that toast often falls on the buttered side",Aston University,,
Jacques,Chirac,France,1996,Peace,for commemorating the fiftieth anniversary of Hiroshima with atomic bomb tests in the Pacific.,,President of France,
Ellen,Kleist,Greenland ,1996,Public Health,for their cautionary medical report “Transmission of Gonorrhea Through an Inflatable Doll.”,,,
Harald,Moi,Norway,1996,Public Health,for their cautionary medical report “Transmission of Gonorrhea Through an Inflatable Doll.”,,,
George,Goble,US,1996,Chemistry,"for his blistering world record time for igniting a barbeque grill-three seconds, using charcoal and liquid oxygen.",Purdue University,,
Chonosuke,Okamura,Japan,1996,Biodiversity,"for discovering the fossils of dinosaurs, horses, dragons, princesses, and more than 1000 other extinct “mini-species,” each of which is less than 1/100 of an inch in length.",Okamura Fossil Laboratory,,
The editors of the journal Social Text,,US,1996,Literature,"for eagerly publishing research that they could not understand, that the author said was meaningless, and which claimed that reality does not exist.",,,
Robert,J. Genco ,US,1996,Economics,for his discovery that “financial strain is a risk indicator for destructive periodontal disease.,University of Buffalo,,
Don,Featherstone,US,1996,Art,"for his ornamentally evolutionary invention, the plastic pink flamingo.",,,
Takami?,Yagyu,Japan,1997,Biology,for measuring people’s brainwave patterns while they chewed different flavors of gum.,,,
Jiri,Wackermann,Czech Republic,1997,Biology,for measuring people’s brainwave patterns while they chewed different flavors of gum.,Neuroscience Technology Research,,
Toshihiko?,Kinoshita,Japan,1997,Biology,for measuring people’s brainwave patterns while they chewed different flavors of gum.,,,
T.,Hirota,Japan,1997,Biology,for measuring people’s brainwave patterns while they chewed different flavors of gum.,,,
